Handle,Tracklist,Format,Label,ReleaseYear
golden-earring-the-hole-lp-new-vinyl-movlp3550c,"1. S1DE 
2. They Dance (5:20)
3. Quiet Eyes (4:12)
4. Save The Best For Later (5:23)
5. Have A Heart (4:06)
6. Love In Motion (3:50)
7. bonus track 
8. Gimme A Break 
9. 2IDE 
10. Jane Jane (5:00)
11. Jump & Run (6:30)
12. Why Do I (5:20)
13. A Shout In The Dark (5:36)
14. bonus track 
15. Gimme A Break (rock version) ",Vinyl,"Red Bullet, Music On Vinyl",2024
golden-earring-keeper-of-the-flame-lp-new-vinyl-movlp3109c,"1. Can Do That 
2. Too Much Woman 
3. One Word 
4. Keeper Of The Flame 
5. Nighthawks 
6. Turn The World Around 
7. Circles 
8. Say My Prayer 
9. Distant Love 
10. My Killer My Shadow ",Vinyl,Music On Vinyl,2023
golden-earring-live-lp-new-vinyl-movlp3067c,"1. First Heat 
2. Candy's Going Bad (5:06)
3. She Flies On Strange Wings (8:09)
4. Mad Love's Coming (9:49)
5. Second Heat 
6. Eight Miles High (10:06)
7. Vanilla Queen (11:42)
8. Third Heat 
9. To The Hilt (6:40)
10. Fighting Windmills (8:50)
11. Con Man (9:20)
12. Heat Four (We Want More) 
13. Radar Love (11:16)
14. Just Like Vince Taylor (6:24)",Vinyl,Music On Vinyl,2022
golden-earring-live-in-ahoy-2006-lp-new-vinyl-movlp3238c,"1. Sky Scraper Hell Of A Town 
2. Another 45 Miles 
3. Watcha Gonna Do (When The Levee Breaks) 
4. Twilight Zone 
5. Save Your Skin 
6. Are You Receiving Me 
7. Smoking Cigarettes 
8. Just A Little Bit Of Peace In My Heart 
9. Kill Me (Ce Soir) 
10. Gambler's Blues 
11. Going To The Run 
12. Radar Love 
13. She Flies On Strange Wings ",Vinyl,Music On Vinyl,2023
golden-earring-moontan-lp-new-vinyl-movlp024,"1. Candy's Going Bad  
2. Are You Receiving Me  
3. Suzy Lunacy (Mental Rock) 
4. Radar Love 
5. Just Like Vince Taylor  
6. The Vanilla Queen ",Vinyl,"Music On Vinyl, Red Bullet",2019
golden-earring-moontan-lp-new-vinyl-movlp3000,"1. Candy's Going Bad (6:12)
2. Are You Receiving Me (9:32)
3. Suzy Lunacy (Mental Rock) (4:26)
4. Radar Love (6:26)
5. Just Like Vince Taylor (4:22)
6. Vanilla Queen (9:19)
7. Big Tree Blue Sea (1973 Version) (8:12)
8. The Song Is Over (4:52)
9. Instant Poetry (5:08)
10. From Heaven From Hell (1974 Version) (6:05)
11. Candy's Going Bad (Rough Mix) (4:06)
12. Radar Love (Basic Track) (6:27)
13. Are You Receiving Me (Basic Track) (9:30)",Vinyl,"Music On Vinyl, Red Bullet",2023
golden-earring-news-lp-new-vinyl-movlp3769c,"1. Clear Night Moonlight 
2. When The Lady Smiles 
3. Enough Is Enough 
4. Fist In Glove 
5. Orwell's Year 
6. N.E.W.S. 
7. I'll Make It All Up To You 
8. Mission Impossible 
9. It's Over Now ",Vinyl,"Music On Vinyl, Red Bullet, Artone Label Group",2024
golden-earring-naked-iii-live-at-the-panama-lp-new-vinyl-movlp2240c,"1. Angel (4:33)
2. Turn The World Around (4:30)
3. Vince Taylor (3:36)
4. I've Just Lost Somebody (3:27)
5. Sleepwalking (4:07)
6. Need Her (3:26)
7. The Thief (3:20)
8. I Need Love (6:54)
9. Kill Me (Ce Soir) (5:10)
10. Paradise In Distress (5:47)
11. Albino Moon (4:17)
12. Lost And Found (3:57)
13. Hold Me Now (3:33)
14. Colour Blind (3:57)
15. Will & Mercy (3:22)
16. No For An Answer (4:25)
17. Last Frontier Hotel (3:50)
18. Holy Holy Life (5:01)",Vinyl,"Universal Music, Music On Vinyl",2024
golden-earring-miracle-mirror-lp-new-vinyl-movlp613c,"1. The Truth About Arthur (2:56)
2. Circus Will Be In Town In Time (3:27)
3. Crystal Heaven (3:52)
4. Sam And Sue (1:40)
5. I've Just Lost Somebody (3:04)
6. Mr. Fortune's Wife (3:17)
7. Who Cares? (3:45)
8. Born A Second Time (2:37)
9. Magnificent Magistral (2:45)
10. Must I Cry? (2:16)
11. Nothing Can Change This World Of Mine (3:23)
12. Gipsy Rhapsody (3:19)",Vinyl,"Polydor, Music On Vinyl",2023
golden-earring-on-the-double-lp-new-vinyl-movlp052,"1. Song Of A Devil's Servant (3:45)
2. Angelina (3:11)
3. Pam Pam Poope Poope Loux (2:44)
4. Hurry, Hurry, Hurry (4:23)
5. My Baby Ruby (3:18)
6. Judy (1:44)
7. Goodbye Mama (3:09)
8. Murdock 9-6182 (3:12)
9. Just A Little Bit Of Peace In My Heart (5:20)
10. The Sad Story Of Sam Stone (2:26)
11. High In The Sky (3:22)
12. Remember My Friend (2:57)
13. Time Is A Book (4:06)
14. Backbiting Baby (5:37)
15. I'm A Runnin' (3:27)
16. I Sing My Song (4:00)
17. Mitch Mover (3:00)
18. God Bless My Day (2:40)
19. The Grand Piano (3:26)",Vinyl,"Music On Vinyl, Red Bullet",2020
golden-retriever-2-occupied-with-the-unspoken-lp-new-vinyl-thrill308lp,"1. Serene Velocity 
2. Canopy 
3. Eudaimonia 
4. Winter Light ",Vinyl,Thrill Jockey,2012
elliot-goldenthal-brussels-philharmonic-dirk-bross-elliot-goldenthal-music-for-film-lp-new-vinyl-sillp1775,"1. Batman Forever / Batman & Robin - Grand Gothic Suite (21:32)
2. Cobb - The Homecoming (6:16)
3. Interview With The Vampire - Born to Darkness / Louis' Revenge (3:31)
4. Heat - Of Helplessness (3:02)
5. Frida - Still Life (1:39)
6. Titus - Arrows of the Gods (1:36)
7. Titus - Finale (6:47)
8. Sphere - The Gift (1:49)
9. Alien³ - Suite: First Attack I / The Entrapment / Lento / Adagio (9:46)
10. Public Enemies - JD Dies (4:03)
11. Final Fantasy: The Spirits Within - Final Fantasia (11:43)",Vinyl,Silva Screen Records Ltd.,2025
benny-golson-this-is-for-you-john-lp-new-vinyl-movlp3165c,"1. Jam The Avenue (4:57)
2. Greensleeves (6:25)
3. Origin (4:21)
4. A Chance Of Heart (7:25)
5. Times Past (This Is For You, John) (7:52)
6. Page 12 (5:26)
7. Vilia (6:20)",Vinyl,Music On Vinyl,2022
selena-gomez-revelacin-lp-new-vinyl-3576466,"1. De Una Vez (2:35)
2. Buscando Amor (3:08)
3. Baila Conmigo (3:06)
4. Dámelo To’ (3:04)
5. Vicio (2:40)
6. Adiós (2:10)
7. Selfish Love (2:48)",Vinyl,Interscope Records,2021
selena-gomez-revelacin-lp-new-vinyl-3576465,"1. De Una Vez 
2. Buscando Amor 
3. Baila Conmigo 
4. Dámelo To’ 
5. Vicio 
6. Adiós 
7. Selfish Love ",Vinyl,Interscope Records,2021
goo-goo-dolls-rarities-lp-new-vinyl-0093624889014,"1. Long Way Down (Live) 
2. Blame It On Me 
3. Naked 
4. Hit Or Miss 
5. Cut Your Hair 
6. Flat Top 
7. Girlie 
8. Beat Me Up 
9. Eyes Wide Open 
10. Name (Live Acoustic) 
11. Slide (Live Acoustic) 
12. Broadway (Live Acoustic) 
13. Black Balloons (Live Acoustic) 
14. Better Days (Live Acoustic) 
15. Let Love In (Live Acoustic) ","2xVinyl, LP, Album, Compilation, Rarities",Warner Records,2021
delta-goodrem-child-of-the-universe-lp-new-vinyl-movlp3283c,"1. Child Of The Universe 
2. Touch 
3. Wish You Were Here 
4. Knocked Out 
5. Sitting On Top Of The World 
6. I'm Not Ready 
7. Hunters And The Wolves 
8. Dancing With A Broken Heart (Album Version) 
9. Hypnotized 
10. Safe To Believe 
11. The Speed Of Life 
12. War On Love 
13. I Lost All Love 4 You 
14. When The Stars Come Out 
15. Control ",Vinyl,"Sony Music, Music On Vinyl",2024
delta-goodrem-i-honestly-love-you-lp-new-vinyl-movlp3286c,"1. You're The One That I Want (3:01)
2. I Honestly Love You (3:47)
3. Physical (3:47)
4. Magic (4:28)
5. Hopelessly Devoted To You (2:57)
6. Xanadu (3:28)
7. Let Me Be There (3:04)
8. Today (2:14)
9. Till You Say You'll Be Mine (2:31)
10. Anyone Who Had A Heart (3:17)
11. If Not For You (2:56)
12. Trust Yourself (2:34)
13. Love Is A Gift (4:22)",Vinyl,Sony Music,2024
delta-goodrem-mistaken-identity-lp-new-vinyl-movlp3281c,"1. Out Of The Blue 
2. The Analyst 
3. Mistaken Identity 
4. Extraordinary Day 
5. A Little Too Late 
6. Be Strong 
7.  Electric Storm 
8. Almost Here 
9. Miscommunication 
10. Sanctuary 
11. Last Night On Earth 
12. Fragile 
13. Disorientated 
14. You Are My Rock 
15. Nobody Listened (Unlisted Bonus Track) ",Vinyl,"Music On Vinyl, Sony Music",2023
delta-goodrem-mistaken-identity-lp-new-vinyl-movlp3281r,"1. Out Of The Blue (4:25)
2. The Analyst (3:36)
3. Mistaken Identity (4:01)
4. Extraordinary Day (4:16)
5. A Little Too Late (3:31)
6. Be Strong (4:03)
7. Electric Storm (4:12)
8. Almost Here (3:48)
9. Miscommunication (3:38)
10. Sanctuary (3:50)
11. Last Night On Earth (4:10)
12. Fragile (3:39)
13. Disorientated (4:16)
14. You Are My Rock (3:24)
15. Nobody Listened (Uncredited Bonus Track) (4:18)",Vinyl,"Music On Vinyl, Sony Music",2025
delta-goodrem-delta-lp-new-vinyl-movlp3282c,"1. Believe Again 
2. In This Life 
3. Possessionless 
4. God Laughs 
5. You Will Only Break My Heart 
6. The Guardian 
7. Bare Hands 
8. Woman 
9. I Can't Break It To My Heart 
10. Brave Face 
11. One Day 
12. Angels In The Room ",Vinyl,"Sony Music, Music On Vinyl",2023
delta-goodrem-only-santa-knows-lp-new-vinyl-movlp3284c,"1. Carol Of The Bells 
2. Only Santa Knows 
3. The Little Drummer Boy 
4. Have Yourself A Merry Little Christmas 
5. Rudolph The Red-Nosed Reindeer 
6. River 
7. Rockin' Around The Christmas Tree 
8. White Christmas 
9. Santa Claus Is Coming To Town 
10. Deck The Halls 
11. Grown-Up Christmas List 
12. Silent Night 
13. Merry Christmas To You 
14. Christmas (Baby Please Come Home) 
15. Sleigh Ride 
16. Jingle Bell Rock 
17. Frosty The Snowman ",Vinyl,"Sony Music, Music On Vinyl, The House Of Oz",2023
dexter-gordon-go-lp-new-vinyl-6511733,"1. Cheese Cake 
2. I Guess I'll Hang My Tears Out To Dry 
3. Second Balcony Jump 
4. Love For Sale 
5. Where Are You 
6. Three O'Clock In The Morning ",Vinyl,"Blue Note, Blue Note",2024
dexter-gordon-go-lp-new-vinyl-3579907,"1. Cheese Cake 
2. I Guess I'll Hang My Tears Out To Dry 
3. Second Balcony Jump 
4. Love For Sale 
5. Where Are You 
6. Three O'Clock In The Morning ",Vinyl,"Blue Note, UMe, Blue Note, Blue Note, UMe",2021
dexter-gordon-north-sea-jazz-concert-series-1979-lp-new-vinyl-bgdnsj23005,"1. It's You Or No One 
2. Flying Home 
3. More Than You Know ","1xVinyl, LP, Album, Live, Limited Edition, Coloured Vinyl, White Vinyl, 180 Gram, Insert","Blue Note Records, Universal Music Jazz",2024
dexter-gordon-the-squirrel-live-at-montmartre-copenhagen-67-lp-new-vinyl-5054197065835,"1. The Squirrel (15:25)
2. Cheese Cake (20:43)
3. You've Changed (12:25)
4. Sonnymoon For Two (17:45)",Vinyl,"Parlophone, Warner Music Denmark",2020
gorillaz-cracker-island-cd-new-5054197199738,"1. Cracker Island 
2. Oil 
3. The Tired Influencer 
4. Tarantula 
5. Silent Running 
6. New Gold 
7.  Baby Queen 
8. Tormenta 
9. Skinny Ape 
10. Possession Island 
11. Cracker Island 
12. Cracker Island 
13. Oil 
14. The Tired Influencer 
15. Silent Running 
16. New Gold 
17. Baby Queen 
18. Tarantula 
19. Tormenta 
20. Skinny Ape 
21. Possession Island ","Box Set, Vinyl, Vinyl, CD",Parlophone,2023
gorillaz-humanz-lp-new-vinyl-0190295851194,"1. Intro: I Switched My Robot Off 
2. Ascension (feat. Vince Staples) 
3. Strobelite (feat. Peven Everett) 
4. Saturnz Barz (feat. Popcaan) 
5. Momentz (feat. De La Soul) 
6. Submission (feat. Danny Brown & Kelela) 
7. Charger (feat. Grace Jones) 
8. Andromeda (feat. DRAM) 
9. Busted and Blue 
10. Carnival (feat. Anthony Hamilton) 
11. Let Me Out (feat. Mavis Staples & Pusha T) 
12. Sex Murder Party (feat. Jamie Principle & Zebra Katz) 
13. She's My Collar (feat. Kali Uchis) 
14. Hallelujah Money (feat. Benjamin Clementine) 
15. We Got The Power (feat. Jehnny Beth) ","2xVinyl, LP, Album, Gatefold, Black Vinyl",Parlophone,2022
gorillaz-song-machine-season-one-strange-timez-lp-new-vinyl-0190295209414,"1. Momentary Bliss (feat. slowthai & Slaves) 
2. Désolé (feat. Fatoumata Diawara) 
3. Aries (feat. Peter Hook & Georgia) 
4. Friday 13th (feat. Octavian) 
5. Pac-Man (feat. Schoolboy Q) 
6. Chalk Tablet Towers (feat. St. Vincent) 
7. The Pink Phantom (feat. Elton John & 6LACK) 
8. Opium (feat. EARTHGANG) 
9. Meanwhile (feat. Jelani Blackman & Barrington Levy) 
10. Dead Butterflies (feat. Kano & Roxani) 
11. With Love To An Ex (feat. EARTHGANG) ","1xVinyl, LP, Album","Parlophone, Warner Records",2020
johann-sebastian-bach-glenn-gould-die-kunst-der-fuge-bwv-1080-volume-i-first-half-fugues-1-9-lp-new-vinyl-vpcl85009,"1. Contrapunctus I - Excerpts 
2. Contrapunctus II - Excerpts 
3. Contrapunctus Iii - Excerpts 
4. Contrapunctus IV - Excerpts 
5. Contrapunctus V - Excerpts 
6. Contrapunctus VI (a 4, Im Stile Francese) - Excerpts 
7. Contrapunctus Vii (A 4, Per Augmentationem Et Diminutionem) - Excerpts 
8. Contrapunctus Viii (A 3) - Excerpts 
9. Contrapunctus IX (a 4, Alla Duodecima) - Excerpts ",Vinyl,Vinyl Passion,2025
johann-sebastian-bach-glenn-gould-the-goldberg-variations-1955-recording-lp-new-vinyl-vpc85000,"1. Variation 1 a 1 Clav. 
2. Variation 2 A 1 Clav. 
3. Variation 3 A 1 Clav. Canone All'Unisuono 
4. Variation 4 A 1 Clav. 
5. Variation 5 A 1 Ovvero 2 Clav. 
6. Variation 6 A 1 Clav. Canone Alla Seconda 
7. Variation 7 A 1 Ovvero 2 Clav. 
8. Variation 8 A  2 Clav. 
9. Variation 9 A  1 Clav. Canone Alla Terza 
10. Variation 10 A  1 Clav. Fughetta 
11. Variation 11 A  2 Clav. 
12. Variation 12 Canone Alla Quarta 
13. Variation 13 A  2 Clav. 
14. Variation 14 A  2 Clav. 
15. Variation 15 A 1 Clav. Canone Alla Quinta. Andante 
16. Variation 16 Ouverture A 1 Clav. 
17. Variation 17 A 2 Clav. 
18. Variation 18 Canone Alla Sesta A 1 Clav. 
19. Variation 19 A  1 Clav. 
20. Variation 20 A  2 Clav. 
21. Variation 21 Canone Alla Settima 
22. Variation 22 Alla Breve A 1 Clav. 
23. Variation 23 A  2 Clav. 
24. Variation 24 Canone All'Ottava A  1 Clav. 
25. Variation 25 A  2 Clav. 
26. Variation 26 A  2 Clav. 
27. Variation 27 Canone Alla Nova 
28. Variation 28 A  2 Clav. 
29. Variation 29 A  1 Avvero 2 Clav. 
30. Variation 30 A  1 Clav. Quodlibet 
31. Aria Da Capo ",Vinyl,Vinyl Passion Classical,2014
glenn-gould-ludwig-van-beethoven-sonates-n-30-31-32-lp-new-vinyl-vpc85069,"1. Sonate N° 30 Op. 109 
2. Sonate N° 31 Op. 110 
3. Sonate N° 32 Op. 111 ",Vinyl,Vinyl Passion Classical,2019
glenn-gould-leonard-bernstein-columbia-symphony-orchestra-ludwig-van-beethoven-johann-sebastian-bach-concerto-no-2-in-b-flat-major-for-piano-and-orchestra-op-19-concerto-no-1-in-d-minor-for-piano-and-orchestra-lp-new-vinyl-vpc85065,"1. Concerto No. 2 In B-Flat Major For Piano And Orchestra, Op 19 
2. Concerto No. 1 In D Minor For Piano And Orchestra ",Vinyl,Vinyl Passion Classical,2018
davy-graham-the-holly-kaleidoscope-lp-new-vinyl-0602508544750,"1. Flower Never Bend With The Rainfall 
2. Wilt Thou Unkind 
3. Blackbird 
4. Blues At Gino's 
5. Since I Feel For You 
6. Sunny Moon For Two 
7. Fingerbuster 
8. Here, There And Everywhere 
9. Ramblin' Sailor 
10. Mary, Open The Door 
11. I Know My Love 
12. Charlie 
13. Bridge Over Troubled Water 
14. Little Man You've Had A Busy Day ",Vinyl,Decca,2020
grand-funk-railroad-closer-to-home-lp-new-vinyl-movlp1112,"1. Sin's A Good Man's Brother (4:35)
2. Aimless Lady (3:25)
3. Nothing Is The Same (5:10)
4. Mean Mistreater (4:25)
5. Get It Together (5:07)
6. I Don't Have To Sing The Blues (4:35)
7. Hooked On Love (7:10)
8. I'm Your Captain (9:47)",Vinyl,"Music On Vinyl, Capitol Records",2014
grand-funk-railroad-collected-lp-new-vinyl-movlp2908,"1. Time Machine 
2. Heartbreaker 
3. Mr. Limousine Driver 
4. Closer To Home (I'm Your Captain) 
5. Sin's A Good Man's Brother 
6. Aimless Lady 
7. Mean Mistreaer (Live) 
8. Gimme Shelter 
9. Feelin' Alright 
10. Footstompin' Music 
11. Upsetter 
12. Rock & Roll Soul 
13. We're An American Band 
14. Walk Like A Man 
15. Shinin' On 
16. The Loco-Motion 
17. Bad Time 
18. Some Kind Of Wonderful 
19. Take Me 
20. Sally 
21. Stuck In The Middle 
22. I'm So True ",Vinyl,"Music On Vinyl, Universal Music",2021
ariana-grande-dangerous-woman-lp-new-vinyl-4786854,"1. Moonlight (3:22)
2. Dangerous Woman (3:55)
3. Be Alright (2:59)
4. Into You (4:04)
5. Side To Side (3:46)
6. Let Me Love You (3:43)
7. Greedy (3:34)
8. Leave Me Lonely (3:49)
9. Everyday (3:14)
10. Sometimes (3:46)
11. I Don't Care (2:58)
12. Bad Decisions (3:46)
13. Touch It (4:20)
14. Knew Better / Forever Boy (4:59)
15. Thinking Bout You (3:20)",Vinyl,Republic Records,2023
ariana-grande-eternal-sunshine-deluxe-brighter-days-ahead-lp-new-vinyl-6807646,"1. Intro (End Of The World) 
2. Bye 
3. Don't Wanna Break Up Again 
4. Saturn Returns Interlude 
5. Eternal Sunshine 
6. Supernatural 
7. True Story 
8. The Boy Is Mine 
9. Yes, And? 
10. We Can't Be Friends (Wait For Your Love) 
11. I Wish I Hated You 
12. Imperfect For You 
13. Ordinary Things 
14. Intro (End Of The World) (Extended) 
15. Yes, And? (Remix) 
16. Supernatural (Remix) 
17. The Boy Is Mine (Remix) 
18. Twilight Zone 
19. Warm 
20. Dandelion 
21. Past Life 
22. Hampstead ",Vinyl,Republic Records,2025
ariana-grande-eternal-sunshine-lp-new-vinyl-6502627,"1. Intro (End Of The World) 
2. Bye 
3. Don't Wanna Break Up Again 
4. Saturn Returns Interlude 
5. Eternal Sunshine 
6. Supernatural 
7. True Story 
8. The Boy Is Mine 
9. Yes, And? 
10. We Can't Be Friends (Wait For Your Love) 
11. I Wish I Hated You 
12. Imperfect For You 
13. Ordinary Things ",Vinyl,"Republic Records, Republic Records",2024
ariana-grande-my-everything-lp-new-vinyl-7797444,"1. Intro (1:20)
2. Problem (3:13)
3. One Last Time (3:17)
4. Why Try (3:31)
5. Break Free (3:35)
6. Best Mistake (3:53)
7. Be My Baby (3:36)
8. Break Your Heart Right Back  (4:13)
9. Love Me Harder (3:51)
10. Just A Little Bit Of Your Heart (3:56)
11. Hands On Me  (3:13)
12. My Everything  (2:48)",Vinyl,"Republic Records, UMe",2019
ariana-grande-thank-u-next-lp-new-vinyl-7747622,"1. Imagine 
2. Needy 
3. NASA 
4. Bloodline 
5. Fake Smile 
6. Bad Idea 
7. Make Up 
8. Ghostin 
9. In My Head 
10. 7 Rings 
11. Thank U, Next 
12. Break Up With Your Girlfriend, I'm Bored ",Vinyl,Republic Records,2019
ariana-grande-yours-truly-lp-new-vinyl-5825288,"1. Honeymoon Avenue (5:40)
2. Baby I (3:18)
3. Right There (4:07)
4. Tattooed Heart (3:15)
5. Lovin’ It (3:01)
6. Piano (3:54)
7. Daydreamin’ (3:31)
8. The Way (3:47)
9. You’ll Never Know (3:34)
10. Almost Is Never Enough (5:28)
11. Popular Song (3:20)
12. Better Left Unsaid (3:31)",Vinyl,"Republic Records, UMe",2023
ariana-grande-yours-truly-lp-new-vinyl-7797449,"1. Honeymoon Avenue (5:40)
2. Baby I (3:18)
3. Right There (4:07)
4. Tattooed Heart (3:15)
5. Lovin' It (3:01)
6. Piano (3:54)
7. Daydreamin' (3:31)
8. The Way (3:47)
9. You’ll Never Know (3:34)
10. Almost Is Never Enough (5:28)
11. Popular Song (3:20)
12. Better Left Unsaid (3:31)",Vinyl,"Republic Records, Universal Music",2019
john-grant-boy-from-michigan-lp-new-vinyl-bella1220v,"1. Boy From Michigan 
2. County Fair 
3. The Rusty Bull 
4. The Cruise Room 
5. Mike And Julie 
6. Best In Me 
7. Rhetorical Figure 
8. Just So You Know 
9. Dandy Star 
10. Your Portfolio 
11. The Only Baby 
12. Billy ","2xVinyl, LP, Album, Digital Download",Bella Union,2021
tom-grant-2-mystified-lp-new-vinyl-movlp3269c,"1. No Me Esqueca 
2. Peddle Has A Point 
3. Gazelle 
4. Caribean Firedance 
5. Mystified 
6. Pannonica 
7. Turtle Soup ",Vinyl,Music On Vinyl,2023
the-grateful-dead-terrapin-station-lp-new-vinyl-0603497830824,"1. Estimated Prophet (5:35)
2. Dancin' In The Streets (3:30)
3. Passenger (2:48)
4. Samson & Delilah (3:30)
5. Sunrise (4:05)
6. Terrapin Station 
7. Terrapin Part I (16:10)",Vinyl,"Rhino Records (2), Rhino Records (2)",2024
the-grateful-dead-terrapin-station-lp-new-vinyl-0081227819514,"1. Estimated Prophet (5:35)
2. Dancin' In The Streets (3:30)
3. Passenger (2:48)
4. Samson & Delilah (3:30)
5. Sunrise (4:05)
6. Terrapin Station 
7. Terrapin Part I (16:10)",Vinyl,"Rhino Records (2), Rhino Records (2)",2024
macy-gray-on-how-life-is-lp-new-vinyl-movlp767,"1. Why Didn't You Call Me (3:14)
2. Do Something (4:57)
3. Caligula (4:38)
4. I Try (3:59)
5. Sex-O-Matic Venus Freak (3:57)
6. I Can't Wait To Meetchu (5:18)
7. Still (4:15)
8. I've Committed Murder (4:59)
9. A Moment To Myself (4:00)
10. The Letter (5:38)",Vinyl,"Music On Vinyl, Epic",2013
the-great-kat-beethoven-on-speed-lp-new-vinyl-movlp3677c,"1. Opus One 
2. Beethoven On Speed (5th Symphony) (1:54)
3. Ultra-Dead (3:18)
4. Flight Of The Bumble-Bee (2:07)
5. Revenge Mongrel (1:31)
6. Funeral March (3:06)
7. Kat-Abuse (1:53)
8. God! (1:17)
9. Made In Japan (1:54)
10. Sex & Violins (1:32)
11. Opus Two 
12. Beethoven Mosh (5th Symphony) (2:07)
13. Gripping Obsession (2:21)
14. Paganini’s 24th Caprice (1:55)
15. Worshipping Bodies (2:29)
16. Guitar Concerto In Blood Minor (2:40)
17. Total Tyrant (2:00)
18. Bach To The Future: For Geniuses Only! (0:22)",Vinyl,Music On Vinyl,2024
al-green-greatest-hits-lp-new-vinyl-fph11351,"1. Tired Of Being Alone (2:43)
2. Call Me (Come Back Home) (3:04)
3. I'm Still In Love With You (3:14)
4. Here I Am (Come And Take Me) (4:15)
5. Love And Happiness (5:04)
6. Let's Stay Together (3:18)
7. I Can't Get Next To You (3:53)
8. You Ought To Be With Me (3:20)
9. Look At What You Done For Me (3:06)
10. Let's Get Married (3:23)",Vinyl,"Fat Possum Records, Hi Records",
green-day-american-idiot-lp-new-vinyl-0093624922810,"1. American Idiot (2:54)
2. Jesus Of Suburbia (9:08)
3. Holiday (3:52)
4. Boulevard Of Broken Dreams (4:20)
5. Are We The Waiting (2:42)
6. St. Jimmy (2:55)
7. Give Me Novacaine (3:25)
8. She's A Rebel (2:00)
9. Extraordinary Girl (3:33)
10. Letterbomb (4:06)
11. Wake Me Up When September Ends (4:45)
12. Homecoming (9:18)
13. Whatsername (4:12)","Vinyl, Vinyl, All Media",Reprise Records,2015
green-day-american-idiot-20-lp-new-vinyl-0093624862734,"1. American Idiot (2:54)
2. Jesus Of Suburbia (9:08)
3. Holiday (3:52)
4. Boulevard Of Broken Dreams (4:20)
5. Are We The Waiting (2:42)
6. St. Jimmy (2:55)
7. Give Me Novacaine (3:25)
8. She's A Rebel (2:00)
9. Extraordinary Girl (3:33)
10. Letterbomb (4:06)
11. Wake Me Up When September Ends (4:45)
12. Homecoming (9:18)
13. Whatsername (4:12)",Vinyl,Reprise Records,2024
green-day-nimrod-xxv-lp-new-vinyl-093624873006,"1. Nimrod. 
2. Nice Guys Finish Last 
3. Hitchin' A Ride 
4. The Grouch 
5. Redundant 
6. Scattered	 
7. All The Time	 
8. Worry Rock	 
9. Platypus (I Hate You)	 
10. Uptight 
11. Last Ride In 
12. Jinx 
13. Haushinka	 
14. Walking Alone	 
15. Reject 
16. Take Back	 
17. King For A Day 
18. Good Riddance (Time Of Your Life)	 
19. Prosthetic Head	 
20. Demos. 
21. Nice Guys Finish Last (2:53)
22. Place Inside My Head (2:33)
23. The Grouch (2:09)
24. Walking Alone (2:34)
25. Jinx (1:52)
26. Alison (2:35)
27. Espionage (3:16)
28. You Irritate Me (1:37)
29. Tre Polka (2:41)
30. When It's Time (2:21)
31. Desensitized (2:27)
32. Chain Saw (1:33)
33. Reject (2:04)
34. Black Eyeliner (3:14)
35. Live At The Electric Factory. 
36. Going To Pasalacqua (4:13)
37. Welcome To Paradise (4:12)
38. Geek Stink Breath (2:39)
39. Nice Guys Finish Last (2:57)
40. Hitchin' A Ride (4:17)
41. The Grouch (3:14)
42. Chump (2:41)
43. Longview (3:36)
44. 2000 Light Years Away (6:07)
45. Brain Stew (3:15)
46. Jaded (2:27)
47. Knowledge (6:08)
48. Basket Case (2:49)
49. She (2:35)
50. F.O.D. (2:40)
51. Paper Lanterns (9:55)
52. Scattered (3:19)
53. Prosthetic Head (4:06)
54. When I Come Around (3:22)
55. Good Riddance (Time Of Your Life) (2:09)","Box Set, Vinyl, Vinyl, Vinyl, Vinyl",Reprise Records,2023
green-day-warning-lp-new-vinyl-0093624857112,"1. Warning (3:42)
2. Blood, Sex And Booze (3:33)
3. Church On Sunday (3:18)
4. Fashion Victim (2:49)
5. Castaway (3:53)
6. Misery (5:06)
7. Deadbeat Holiday (3:35)
8. Hold On (2:57)
9. Jackass (2:43)
10. Waiting (3:14)
11. Minority (2:49)
12. Macy's Day Parade (3:34)",Vinyl,Reprise Records,2024
